N,logits_ece,acc,unc_acc,unc_auroc,unc_ece,dataset,split,ts,model_name,eval_mode,train_mode,fuzzy_gpt-3.5-turbo-1106_acc,fuzzy_gpt-3.5-turbo-1106_unc_acc,fuzzy_gpt-3.5-turbo-1106_unc_auroc,fuzzy_gpt-3.5-turbo-1106_unc_ece
100,0.36699718654155733,0.3100000023841858,0.7199999690055847,0.453015427769986,0.06598030626773836,mmlu:college_mathematics,test,17.071178544312716,mistral_7b_instruct,choice,choice,,,,
22,0.29160571098327637,0.6363636255264282,0.6818181872367859,0.42857142857142855,0.11121957952325996,mmlu:college_medicine,validation,3.537332948297262,mistral_7b_instruct,choice,choice,,,,
173,0.3358282767279299,0.5780346393585205,0.6647398471832275,0.569109589041096,0.07301646815559079,mmlu:college_medicine,test,32.084085712209344,mistral_7b_instruct,choice,choice,,,,
11,0.493214260448109,0.4545454680919647,0.6363636255264282,0.3333333333333333,0.05589015917344529,mmlu:college_physics,validation,1.7833284698426723,mistral_7b_instruct,choice,choice,,,,
102,0.3972641346501369,0.4117647111415863,0.6568627953529358,0.5043650793650793,0.08560712314119528,mmlu:college_physics,test,14.948118340224028,mistral_7b_instruct,choice,choice,,,,
11,0.3270850831812078,0.6363636255264282,0.4545454680919647,0.4642857142857143,0.2076282663778825,mmlu:computer_security,validation,1.6681788060814142,mistral_7b_instruct,choice,choice,,,,
100,0.20277144402265543,0.7199999690055847,0.6100000143051147,0.5339781746031746,0.09934039831161501,mmlu:computer_security,test,12.216588605195284,mistral_7b_instruct,choice,choice,,,,
26,0.32021135664903205,0.5,0.692307710647583,0.7603550295857988,0.09513235321411717,mmlu:conceptual_physics,validation,2.664577152580023,mistral_7b_instruct,choice,choice,,,,
235,0.3259811748849585,0.5106382966041565,0.612765908241272,0.5352536231884057,0.06912129711597523,mmlu:conceptual_physics,test,22.62423636764288,mistral_7b_instruct,choice,choice,,,,
12,0.23544961710770929,0.6666666865348816,0.8333333730697632,0.6875,0.14223281542460128,mmlu:econometrics,validation,2.4386973436921835,mistral_7b_instruct,choice,choice,,,,
114,0.44112591027167813,0.4035087823867798,0.6140350699424744,0.5385230179028133,0.04906447623905383,mmlu:econometrics,test,20.893084144219756,mistral_7b_instruct,choice,choice,,,,
16,0.15299630351364613,0.6875,0.5625,0.5454545454545454,0.21631880849599838,mmlu:electrical_engineering,validation,2.2645864449441433,mistral_7b_instruct,choice,choice,,,,
145,0.27874617103872634,0.565517246723175,0.5862069129943848,0.5499419279907084,0.16821209685555816,mmlu:electrical_engineering,test,18.72698258794844,mistral_7b_instruct,choice,choice,,,,
41,0.5683083178066626,0.2926829159259796,0.5853658318519592,0.48850574712643674,0.1484626037318532,mmlu:elementary_mathematics,validation,6.854647766798735,mistral_7b_instruct,choice,choice,,,,
378,0.42598307227331494,0.38359788060188293,0.6058200597763062,0.5189137191061122,0.07971983974572841,mmlu:elementary_mathematics,test,60.47509142011404,mistral_7b_instruct,choice,choice,,,,
14,0.5300084905964988,0.3571428656578064,0.3571428656578064,0.7111111111111111,0.3007463855402811,mmlu:formal_logic,validation,2.8109627664089203,mistral_7b_instruct,choice,choice,,,,
126,0.4288197330066136,0.3888889253139496,0.484127014875412,0.5380333951762524,0.1858883424410744,mmlu:formal_logic,test,24.18679179251194,mistral_7b_instruct,choice,choice,,,,
10,0.6482203334569931,0.20000000298023224,0.699999988079071,0.875,0.3878909826278687,mmlu:global_facts,validation,1.453850707039237,mistral_7b_instruct,choice,choice,,,,
100,0.48122519657015805,0.35999998450279236,0.4399999976158142,0.4616044616044616,0.2172621351480484,mmlu:global_facts,test,12.707913048565388,mistral_7b_instruct,choice,choice,,,,
32,0.24558557756245133,0.71875,0.71875,0.7391304347826086,0.08365226536989213,mmlu:high_school_biology,validation,5.21592777594924,mistral_7b_instruct,choice,choice,,,,
310,0.18493177121685397,0.7322580814361572,0.7322580814361572,0.6403853298657185,0.059106680270164254,mmlu:high_school_biology,test,49.500693038105965,mistral_7b_instruct,choice,choice,,,,
22,0.34913468902761285,0.5454545617103577,0.5454545617103577,0.44999999999999996,0.2658220258626071,mmlu:high_school_chemistry,validation,3.6767027527093887,mistral_7b_instruct,choice,choice,,,,
203,0.3300257035957769,0.5024630427360535,0.6009852290153503,0.6399242865463016,0.14733844613794037,mmlu:high_school_chemistry,test,31.352866424247622,mistral_7b_instruct,choice,choice,,,,
9,0.3047038416067759,0.6666666865348816,0.5555555820465088,0.5,0.3480862047937181,mmlu:high_school_computer_science,validation,2.699255893006921,mistral_7b_instruct,choice,choice,,,,
100,0.25101123958826066,0.6299999952316284,0.6200000047683716,0.5115830115830116,0.07784963607788088,mmlu:high_school_computer_science,test,28.52432413958013,mistral_7b_instruct,choice,choice,,,,
22,0.09892364794557745,0.8636363744735718,0.6818181872367859,0.4385964912280702,0.1442515633322976,mmlu:high_school_geography,validation,2.6757603883743286,mistral_7b_instruct,choice,choice,,,,
198,0.16457719137572283,0.7626262903213501,0.7828282713890076,0.6232210793292942,0.038936978337740666,mmlu:high_school_geography,test,23.04169238358736,mistral_7b_instruct,choice,choice,,,,
21,0.18571182092030847,0.761904776096344,0.8095238208770752,0.575,0.14810222954977126,mmlu:high_school_government_and_politics,validation,2.9634361509233713,mistral_7b_instruct,choice,choice,,,,
193,0.12392692507239823,0.8290154933929443,0.772020697593689,0.5783143939393939,0.05402164261575808,mmlu:high_school_government_and_politics,test,26.182017048820853,mistral_7b_instruct,choice,choice,,,,
43,0.22275190713793735,0.6744186282157898,0.7441860437393188,0.6748768472906405,0.13229253957437917,mmlu:high_school_macroeconomics,validation,5.088142009451985,mistral_7b_instruct,choice,choice,,,,
390,0.3108129061949559,0.5769230723381042,0.6333333253860474,0.510006734006734,0.06473544346980563,mmlu:high_school_macroeconomics,test,45.316601540893316,mistral_7b_instruct,choice,choice,,,,
29,0.35391655769841424,0.37931033968925476,0.517241358757019,0.45959595959595956,0.3156191295590894,mmlu:high_school_mathematics,validation,4.677194435149431,mistral_7b_instruct,choice,choice,,,,
270,0.34481427327350334,0.32222220301628113,0.6074073910713196,0.4517618240060297,0.07944230371051365,mmlu:high_school_mathematics,test,41.66667355783284,mistral_7b_instruct,choice,choice,,,,
26,0.2971332107598965,0.6538462042808533,0.7307692766189575,0.5555555555555556,0.06437540512818556,mmlu:high_school_microeconomics,validation,3.225030492991209,mistral_7b_instruct,choice,choice,,,,
238,0.25066431592993377,0.6596639156341553,0.680672287940979,0.5656601399701188,0.06350049451619634,mmlu:high_school_microeconomics,test,28.702153123915195,mistral_7b_instruct,choice,choice,,,,
17,0.576501513228697,0.1764705926179886,0.47058823704719543,0.9761904761904763,0.3304651660077712,mmlu:high_school_physics,validation,3.0215742103755474,mistral_7b_instruct,choice,choice,,,,
151,0.48068022056920645,0.3245033025741577,0.4768211841583252,0.5598239295718287,0.22728843088971074,mmlu:high_school_physics,test,25.11153314076364,mistral_7b_instruct,choice,choice,,,,
60,0.14687878390153253,0.8666667342185974,0.8833333849906921,0.7427884615384616,0.11724495589733124,mmlu:high_school_psychology,validation,9.05186645500362,mistral_7b_instruct,choice,choice,,,,
545,0.1524940463927908,0.7963302731513977,0.8256880640983582,0.67619644723093,0.03930747312143308,mmlu:high_school_psychology,test,81.947973780334,mistral_7b_instruct,choice,choice,,,,
23,0.33509852316068567,0.52173912525177,0.52173912525177,0.5378787878787878,0.1808883495952772,mmlu:high_school_statistics,validation,5.747789811342955,mistral_7b_instruct,choice,choice,,,,
216,0.3680592295196321,0.45370370149612427,0.6203703880310059,0.5775683154617779,0.05573611678900543,mmlu:high_school_statistics,test,55.15248867496848,mistral_7b_instruct,choice,choice,,,,
22,0.20736756649884316,0.7727273106575012,0.6818181872367859,0.7294117647058823,0.10077960924668743,mmlu:high_school_us_history,validation,20.12728918530047,mistral_7b_instruct,choice,choice,,,,
204,0.1760429599705865,0.7647058963775635,0.7647058963775635,0.6491720085470085,0.03648429612318676,mmlu:high_school_us_history,test,185.41094432771206,mistral_7b_instruct,choice,choice,,,,
23,0.2849027877268584,0.739130437374115,0.6521739363670349,0.4509803921568627,0.12969913949137146,mmlu:human_aging,validation,2.453676277771592,mistral_7b_instruct,choice,choice,,,,
223,0.2803503311001132,0.6322870254516602,0.6367713212966919,0.6196159833938764,0.06318356557811855,mmlu:human_aging,test,22.15962822921574,mistral_7b_instruct,choice,choice,,,,
12,0.3910154501597087,0.5,0.6666666865348816,0.5833333333333334,0.2501901139815649,mmlu:human_sexuality,validation,1.4492725152522326,mistral_7b_instruct,choice,choice,,,,
131,0.18673584240538474,0.6870229244232178,0.7557252049446106,0.5081300813008129,0.09271382102529512,mmlu:human_sexuality,test,14.814092122018337,mistral_7b_instruct,choice,choice,,,,
13,0.04825018919431247,1.0,0.7692307829856873,,0.1878830561271081,mmlu:international_law,validation,2.611935492604971,mistral_7b_instruct,choice,choice,,,,
121,0.1990918629179316,0.7520660758018494,0.7272726893424988,0.6362637362637363,0.04220806616396944,mmlu:international_law,test,22.554087547585368,mistral_7b_instruct,choice,choice,,,,
11,0.4057095809416338,0.5454545617103577,0.7272727489471436,0.6,0.3631793748248707,mmlu:jurisprudence,validation,1.5236994549632072,mistral_7b_instruct,choice,choice,,,,
108,0.1348436223687949,0.7777777910232544,0.7685185074806213,0.6696428571428572,0.054496889313062014,mmlu:jurisprudence,test,13.315913612022996,mistral_7b_instruct,choice,choice,,,,
18,0.2286232709884644,0.7222222089767456,0.6666666865348816,0.47692307692307695,0.3034266299671597,mmlu:logical_fallacies,validation,2.4518393203616142,mistral_7b_instruct,choice,choice,,,,
163,0.21580915911797366,0.6932514905929565,0.7607361674308777,0.4617699115044247,0.0848738605990732,mmlu:logical_fallacies,test,21.415037222206593,mistral_7b_instruct,choice,choice,,,,
11,0.4750036895275116,0.27272728085517883,0.5454545617103577,0.5,0.12433848055926239,mmlu:machine_learning,validation,2.243848627433181,mistral_7b_instruct,choice,choice,,,,
112,0.4009351400392396,0.4285714626312256,0.5,0.4967447916666667,0.15773656325680868,mmlu:machine_learning,test,21.71237182430923,mistral_7b_instruct,choice,choice,,,,
11,0.08183464136990637,0.9090909361839294,0.7272727489471436,0.8,0.17187701030211017,mmlu:management,validation,1.113238064572215,mistral_7b_instruct,choice,choice,,,,
103,0.21182832440126284,0.7475728392601013,0.6504854559898376,0.6028971028971029,0.09146271978767173,mmlu:management,test,9.681352939456701,mistral_7b_instruct,choice,choice,,,,
25,0.1364144992828369,0.8399999737739563,0.8799999952316284,0.6904761904761905,0.16435061693191527,mmlu:marketing,validation,3.24522178247571,mistral_7b_instruct,choice,choice,,,,
234,0.09125810224785762,0.8632479310035706,0.7820513248443604,0.6319616336633663,0.05697364226365701,mmlu:marketing,test,28.605658857151866,mistral_7b_instruct,choice,choice,,,,
11,0.0449044406414032,0.9090909361839294,0.9090909361839294,0.9,0.19738409735939721,mmlu:medical_genetics,validation,1.4097182508558035,mistral_7b_instruct,choice,choice,,,,
100,0.2847048228979111,0.6599999666213989,0.7099999785423279,0.5060160427807486,0.055238652825355554,mmlu:medical_genetics,test,11.178424956277013,mistral_7b_instruct,choice,choice,,,,
38,0.40927351775922277,0.5,0.6578947305679321,0.628808864265928,0.16326792302884555,mmlu:moral_disputes,validation,5.6449902802705765,mistral_7b_instruct,choice,choice,,,,
346,0.21625922620296478,0.6878612637519836,0.647398829460144,0.5562507331951668,0.047801978498525,mmlu:moral_disputes,test,49.86416172794998,mistral_7b_instruct,choice,choice,,,,
33,0.20663583278656006,0.7272727489471436,0.7575757503509521,0.4305555555555556,0.2509902408628753,mmlu:nutrition,validation,5.94067863561213,mistral_7b_instruct,choice,choice,,,,
306,0.21835722107123703,0.6764705777168274,0.673202633857727,0.6141121358512664,0.039865722453672134,mmlu:nutrition,test,54.498450342565775,mistral_7b_instruct,choice,choice,,,,
34,0.2439185065381667,0.7058823704719543,0.7352941036224365,0.6041666666666666,0.10418088997111602,mmlu:philosophy,validation,3.882104866206646,mistral_7b_instruct,choice,choice,,,,
311,0.2319063437904959,0.6945337653160095,0.6881029009819031,0.5918615984405459,0.026965171194536494,mmlu:philosophy,test,33.34900714457035,mistral_7b_instruct,choice,choice,,,,
35,0.28488696813583375,0.6285714507102966,0.6571428775787354,0.6363636363636364,0.09684086697442192,mmlu:prehistory,validation,5.813791390508413,mistral_7b_instruct,choice,choice,,,,
324,0.21219177268169548,0.7037037014961243,0.6574074029922485,0.596422697368421,0.07660106265986408,mmlu:prehistory,test,51.675051817670465,mistral_7b_instruct,choice,choice,,,,
69,0.23504126244697013,0.695652186870575,0.6376811861991882,0.5193452380952381,0.10507449378138002,mmlu:professional_psychology,validation,12.330113407224417,mistral_7b_instruct,choice,choice,,,,
612,0.26351112891840783,0.6372548937797546,0.6078431606292725,0.5654314844174932,0.09088613005245433,mmlu:professional_psychology,test,104.05647077783942,mistral_7b_instruct,choice,choice,,,,
12,0.2672729740540186,0.5833333730697632,0.5,0.6,0.2439107398192088,mmlu:public_relations,validation,1.7600688133388758,mistral_7b_instruct,choice,choice,,,,
110,0.22116296250711792,0.699999988079071,0.6727272272109985,0.6119637937819755,0.07325313849882648,mmlu:public_relations,test,13.955726841464639,mistral_7b_instruct,choice,choice,,,,
27,0.29305871327718097,0.6296296119689941,0.7037037014961243,0.588235294117647,0.12682629073107682,mmlu:security_studies,validation,10.565910514444113,mistral_7b_instruct,choice,choice,,,,
245,0.2187763589985517,0.7061223983764648,0.6734693646430969,0.5792790622992936,0.05971183022674248,mmlu:security_studies,test,97.08374887704849,mistral_7b_instruct,choice,choice,,,,
22,0.09615165537053888,0.9090909361839294,0.7727273106575012,0.875,0.10270552743564951,mmlu:sociology,validation,2.9506013486534357,mistral_7b_instruct,choice,choice,,,,
201,0.14599392737322187,0.8208954930305481,0.746268630027771,0.46313131313131317,0.07064304838133097,mmlu:sociology,test,25.87346563115716,mistral_7b_instruct,choice,choice,,,,
11,0.09946483373641965,0.9090909361839294,0.7272727489471436,0.6,0.160442130132155,mmlu:us_foreign_policy,validation,1.5547931361943483,mistral_7b_instruct,choice,choice,,,,
100,0.14641115546226502,0.8399999737739563,0.7899999618530273,0.5758928571428571,0.13569818377494813,mmlu:us_foreign_policy,test,12.530699810013175,mistral_7b_instruct,choice,choice,,,,
18,0.29886655012766516,0.6111111044883728,0.6666666865348816,0.37662337662337664,0.21228489610883922,mmlu:virology,validation,2.47236205637455,mistral_7b_instruct,choice,choice,,,,
166,0.4108055790504777,0.48795178532600403,0.5481927394866943,0.5408681765389083,0.1391209518334952,mmlu:virology,test,18.42729276046157,mistral_7b_instruct,choice,choice,,,,
19,0.16099958984475385,0.8421052694320679,0.6842105388641357,0.2916666666666667,0.2302692689393696,mmlu:world_religions,validation,1.8088750559836626,mistral_7b_instruct,choice,choice,,,,
171,0.13443411651410558,0.8245614171028137,0.7953216433525085,0.6555555555555556,0.043175724863308916,mmlu:world_religions,test,14.80629607476294,mistral_7b_instruct,choice,choice,,,,
14,,,,,,mmlu:anatomy,validation,16.127841097302735,mistral_7b_instruct,oe,oe,0.5714285969734192,0.5,0.4583333333333333,0.2275711468287877
135,,,,,,mmlu:anatomy,test,108.3012416921556,mistral_7b_instruct,oe,oe,0.5407407283782959,0.5925925970077515,0.5288334069818824,0.09144340886010068
16,,,,,,mmlu:astronomy,validation,13.704155154526234,mistral_7b_instruct,oe,oe,0.5,0.625,0.59375,0.1733641065657139
152,,,,,,mmlu:astronomy,test,122.59300376288593,mistral_7b_instruct,oe,oe,0.7171052694320679,0.4802631735801697,0.4969063366759121,0.1761615437112357
11,,,,,,mmlu:business_ethics,validation,10.189559309743345,mistral_7b_instruct,oe,oe,0.4545454680919647,0.7272727489471436,0.5,0.11670686440034346
100,,,,,,mmlu:business_ethics,test,82.94382000621408,mistral_7b_instruct,oe,oe,0.429999977350235,0.5099999904632568,0.5018359853121175,0.16855105638504028
29,,,,,,mmlu:clinical_knowledge,validation,25.944615320302546,mistral_7b_instruct,oe,oe,0.37931033968925476,0.4482758641242981,0.5757575757575757,0.16617241399041538
265,,,,,,mmlu:clinical_knowledge,test,225.0262339003384,mistral_7b_instruct,oe,oe,0.4415094256401062,0.5735849142074585,0.5037826287826288,0.10564753356969582
16,,,,,,mmlu:college_biology,validation,13.247735786251724,mistral_7b_instruct,oe,oe,0.375,0.6875,0.3833333333333333,0.13410313799977303
144,,,,,,mmlu:college_biology,test,118.59648837894201,mistral_7b_instruct,oe,oe,0.4583333432674408,0.569444477558136,0.44541569541569537,0.10320487990975381
8,,,,,,mmlu:college_chemistry,validation,7.129727518185973,mistral_7b_instruct,oe,oe,0.0,0.375,,0.346431665122509
100,,,,,,mmlu:college_chemistry,test,85.26001640874892,mistral_7b_instruct,oe,oe,0.23999999463558197,0.5299999713897705,0.5844298245614036,0.1643619126081467
11,,,,,,mmlu:college_computer_science,validation,10.989646844565868,mistral_7b_instruct,oe,oe,0.3636363744735718,0.5454545617103577,0.4285714285714286,0.2148084965619174
100,,,,,,mmlu:college_computer_science,test,94.49528362229466,mistral_7b_instruct,oe,oe,0.32999998331069946,0.6800000071525574,0.539348710990502,0.12111474990844724
11,,,,,,mmlu:college_mathematics,validation,10.220213741995394,mistral_7b_instruct,oe,oe,0.1818181872367859,0.4545454680919647,0.7777777777777778,0.30448200485923077
100,,,,,,mmlu:college_mathematics,test,87.20898500271142,mistral_7b_instruct,oe,oe,0.17999999225139618,0.6699999570846558,0.532859078590786,0.049250127673149104
22,,,,,,mmlu:college_medicine,validation,19.560676584020257,mistral_7b_instruct,oe,oe,0.5,0.5,0.5702479338842975,0.15857056866992603
173,,,,,,mmlu:college_medicine,test,153.9852171605453,mistral_7b_instruct,oe,oe,0.42774564027786255,0.6242774724960327,0.5221130221130221,0.02664495375804128
11,,,,,,mmlu:college_physics,validation,10.237457180395722,mistral_7b_instruct,oe,oe,0.1818181872367859,0.7272727489471436,0.5,0.3458333394744179
102,,,,,,mmlu:college_physics,test,88.07825271040201,mistral_7b_instruct,oe,oe,0.18627451360225677,0.7058823704719543,0.595434369055168,0.14243822354896396
11,,,,,,mmlu:computer_security,validation,10.115932972170413,mistral_7b_instruct,oe,oe,0.7272727489471436,0.4545454680919647,0.04166666666666667,0.22173896702853113
100,,,,,,mmlu:computer_security,test,82.72582302615047,mistral_7b_instruct,oe,oe,0.6399999856948853,0.5799999833106995,0.46484375,0.1843546748161316
26,,,,,,mmlu:conceptual_physics,validation,22.427637425251305,mistral_7b_instruct,oe,oe,0.46153849363327026,0.46153849363327026,0.4107142857142857,0.1653678371356084
235,,,,,,mmlu:conceptual_physics,test,190.20331989601254,mistral_7b_instruct,oe,oe,0.4170212745666504,0.5957446694374084,0.5169074929241769,0.0496051917684839
12,,,,,,mmlu:econometrics,validation,11.364250369369984,mistral_7b_instruct,oe,oe,0.25,0.4166666865348816,0.6296296296296295,0.23528865476449332
114,,,,,,mmlu:econometrics,test,102.61850638501346,mistral_7b_instruct,oe,oe,0.28070175647735596,0.5964912176132202,0.4504573170731707,0.11860285830079463
16,,,,,,mmlu:electrical_engineering,validation,13.167191470973194,mistral_7b_instruct,oe,oe,0.3125,0.625,0.4,0.056197270750999465
145,,,,,,mmlu:electrical_engineering,test,124.1775800967589,mistral_7b_instruct,oe,oe,0.43448275327682495,0.5586206912994385,0.5322299651567944,0.1175643518053252
41,,,,,,mmlu:elementary_mathematics,validation,36.632058466784656,mistral_7b_instruct,oe,oe,0.3658536374568939,0.6097560524940491,0.5076923076923077,0.19459853666584664
378,,,,,,mmlu:elementary_mathematics,test,317.51082269474864,mistral_7b_instruct,oe,oe,0.4285714030265808,0.5925925970077515,0.49118369913122994,0.10942151007198152
14,,,,,,mmlu:formal_logic,validation,13.635422128252685,mistral_7b_instruct,oe,oe,0.4285714626312256,0.4285714626312256,0.5416666666666666,0.34827551671436857
126,,,,,,mmlu:formal_logic,test,105.95151661988348,mistral_7b_instruct,oe,oe,0.3730158805847168,0.523809552192688,0.5455157554538109,0.16695932689167203
10,,,,,,mmlu:global_facts,validation,9.778393763117492,mistral_7b_instruct,oe,oe,0.5,0.6000000238418579,0.27999999999999997,0.1483909547328949
100,,,,,,mmlu:global_facts,test,81.74454000312835,mistral_7b_instruct,oe,oe,0.22999998927116394,0.429999977350235,0.5830039525691699,0.2599813812971115
32,,,,,,mmlu:high_school_biology,validation,26.835073549300432,mistral_7b_instruct,oe,oe,0.375,0.59375,0.7125,0.19377149641513824
310,,,,,,mmlu:high_school_biology,test,257.2884517032653,mistral_7b_instruct,oe,oe,0.5806451439857483,0.6548386812210083,0.5776282051282051,0.04427128645681567
22,,,,,,mmlu:high_school_chemistry,validation,20.34843084681779,mistral_7b_instruct,oe,oe,0.13636364042758942,0.7272727489471436,0.7543859649122807,0.12089936841617929
203,,,,,,mmlu:high_school_chemistry,test,171.64141473080963,mistral_7b_instruct,oe,oe,0.2807881832122803,0.5665024518966675,0.5752223023311703,0.15520680567313888
9,,,,,,mmlu:high_school_computer_science,validation,10.117380870506167,mistral_7b_instruct,oe,oe,0.5555555820465088,0.5555555820465088,0.5,0.3112228843900892
100,,,,,,mmlu:high_school_computer_science,test,89.68782813195139,mistral_7b_instruct,oe,oe,0.5600000023841858,0.5299999713897705,0.43851461038961037,0.1139674043655396
22,,,,,,mmlu:high_school_geography,validation,19.398983746767044,mistral_7b_instruct,oe,oe,0.40909093618392944,0.4545454680919647,0.4786324786324786,0.1979966028170152
198,,,,,,mmlu:high_school_geography,test,163.85865377634764,mistral_7b_instruct,oe,oe,0.44949495792388916,0.5353535413742065,0.50881352437893,0.1169552456850957
21,,,,,,mmlu:high_school_government_and_politics,validation,19.442149084992707,mistral_7b_instruct,oe,oe,0.7142857313156128,0.6190476417541504,0.6111111111111112,0.22116323312123617
193,,,,,,mmlu:high_school_government_and_politics,test,157.54313084110618,mistral_7b_instruct,oe,oe,0.6269429922103882,0.6269429922103882,0.5293847566574839,0.07580997628869172
43,,,,,,mmlu:high_school_macroeconomics,validation,37.72132379002869,mistral_7b_instruct,oe,oe,0.4651162624359131,0.5116279125213623,0.6326086956521739,0.1663647252459859
390,,,,,,mmlu:high_school_macroeconomics,test,315.6206719689071,mistral_7b_instruct,oe,oe,0.5128205418586731,0.5615384578704834,0.5266710526315789,0.09630380257582052
29,,,,,,mmlu:high_school_mathematics,validation,27.035385626368225,mistral_7b_instruct,oe,oe,0.13793103396892548,0.8275861740112305,0.21000000000000002,0.10234818992943599
270,,,,,,mmlu:high_school_mathematics,test,233.48061103746295,mistral_7b_instruct,oe,oe,0.15555554628372192,0.7592592239379883,0.38894110275689225,0.02287712119243763
26,,,,,,mmlu:high_school_microeconomics,validation,23.511939829215407,mistral_7b_instruct,oe,oe,0.3461538553237915,0.5,0.5816993464052287,0.278871673804063
238,,,,,,mmlu:high_school_microeconomics,test,193.9592157350853,mistral_7b_instruct,oe,oe,0.42436978220939636,0.5714285969734192,0.4932788899327889,0.09323142681803019
17,,,,,,mmlu:high_school_physics,validation,17.012933917343616,mistral_7b_instruct,oe,oe,0.23529411852359772,0.5882353186607361,0.36538461538461536,0.18978105222477634
151,,,,,,mmlu:high_school_physics,test,129.93462892901152,mistral_7b_instruct,oe,oe,0.3178808093070984,0.5894039869308472,0.5059668284789645,0.08885971086704178
60,,,,,,mmlu:high_school_psychology,validation,49.55329911503941,mistral_7b_instruct,oe,oe,0.6333333849906921,0.6000000238418579,0.43361244019138756,0.05990475614865619
545,,,,,,mmlu:high_school_psychology,test,449.469371332787,mistral_7b_instruct,oe,oe,0.60550457239151,0.5926605463027954,0.48705426356589143,0.09200734753127492
23,,,,,,mmlu:high_school_statistics,validation,22.18971659615636,mistral_7b_instruct,oe,oe,0.260869562625885,0.739130437374115,0.6176470588235294,0.11713056978972063
216,,,,,,mmlu:high_school_statistics,test,193.177823795937,mistral_7b_instruct,oe,oe,0.375,0.6805555820465088,0.42313671696387745,0.06399185238061127
22,,,,,,mmlu:high_school_us_history,validation,40.484043466858566,mistral_7b_instruct,oe,oe,0.6818181872367859,0.6818181872367859,0.5714285714285714,0.09180322018536652
204,,,,,,mmlu:high_school_us_history,test,354.6766015663743,mistral_7b_instruct,oe,oe,0.7058823704719543,0.7009804248809814,0.5858217592592592,0.05488074994554709
23,,,,,,mmlu:human_aging,validation,19.55230699200183,mistral_7b_instruct,oe,oe,0.43478262424468994,0.5652173757553101,0.523076923076923,0.32306991452756134
223,,,,,,mmlu:human_aging,test,185.39445363357663,mistral_7b_instruct,oe,oe,0.4663677215576172,0.5291479825973511,0.46687136393018747,0.1504288112636104
12,,,,,,mmlu:human_sexuality,validation,9.93414920475334,mistral_7b_instruct,oe,oe,0.5833333730697632,0.6666666865348816,0.5142857142857142,0.18623937169710797
131,,,,,,mmlu:human_sexuality,test,108.31534103583544,mistral_7b_instruct,oe,oe,0.5572519302368164,0.6412214040756226,0.49338686820973077,0.0642027399922145
