N,fuzzy_gpt-3.5-turbo-1106_acc,fuzzy_gpt-3.5-turbo-1106_unc_acc,fuzzy_gpt-3.5-turbo-1106_unc_auroc,fuzzy_gpt-3.5-turbo-1106_unc_ece,dataset,split,ts,model_name,eval_method,eval_mode
173,0.17341040074825287,0.5549132823944092,0.6347319347319347,0.3858401210502136,mmlu:college_medicine,test,52.9030774589628,llama2_7b_chat,ve1s1g,oe
11,0.1818181872367859,0.4545454680919647,0.5555555555555556,0.4190909103913741,mmlu:college_physics,validation,3.546474628150463,llama2_7b_chat,ve1s1g,oe
102,0.1568627506494522,0.4215686321258545,0.5494186046511628,0.42196034411994776,mmlu:college_physics,test,30.19611438550055,llama2_7b_chat,ve1s1g,oe
11,0.4545454680919647,0.3636363744735718,0.3333333333333333,0.3636364069851962,mmlu:computer_security,validation,3.361415084451437,llama2_7b_chat,ve1s1g,oe
100,0.19999998807907104,0.3700000047683716,0.5175,0.4818415708687841,mmlu:computer_security,test,30.007324431091547,llama2_7b_chat,ve1s1g,oe
26,0.23076924681663513,0.26923078298568726,0.6583333333333334,0.5458333442608515,mmlu:conceptual_physics,validation,6.586331155151129,llama2_7b_chat,ve1s1g,oe
235,0.22978723049163818,0.3361701965332031,0.5563740536116226,0.48037253951401687,mmlu:conceptual_physics,test,65.28266803175211,llama2_7b_chat,ve1s1g,oe
12,0.1666666716337204,0.5,0.7000000000000001,0.47556870679060614,mmlu:econometrics,validation,3.936626950278878,llama2_7b_chat,ve1s1g,oe
114,0.1315789520740509,0.4912280738353729,0.6626262626262627,0.40562822510089197,mmlu:econometrics,test,33.68132983520627,llama2_7b_chat,ve1s1g,oe
16,0.125,0.1875,0.5714285714285714,0.650000061839819,mmlu:electrical_engineering,validation,4.731306856498122,llama2_7b_chat,ve1s1g,oe
145,0.1862068921327591,0.3724137842655182,0.5740740740740742,0.4832386233740383,mmlu:electrical_engineering,test,40.280932787805796,llama2_7b_chat,ve1s1g,oe
41,0.2926829159259796,0.46341460943222046,0.617816091954023,0.34692306549121177,mmlu:elementary_mathematics,validation,11.667505461722612,llama2_7b_chat,ve1s1g,oe
378,0.23544973134994507,0.4100528955459595,0.6034951984759535,0.3837075386587427,mmlu:elementary_mathematics,test,101.62553341686726,llama2_7b_chat,ve1s1g,oe
14,0.1428571492433548,0.5714285969734192,0.75,0.4295463476862226,mmlu:formal_logic,validation,4.015892228111625,llama2_7b_chat,ve1s1g,oe
126,0.1746031790971756,0.6507936716079712,0.6057692307692307,0.36191879006905275,mmlu:formal_logic,test,34.17567880637944,llama2_7b_chat,ve1s1g,oe
10,0.10000000149011612,0.4000000059604645,0.1111111111111111,0.37310585379600525,mmlu:global_facts,validation,3.0294793136417866,llama2_7b_chat,ve1s1g,oe
100,0.10999999940395355,0.5799999833106995,0.6087844739530133,0.27893175959587097,mmlu:global_facts,test,28.30812554806471,llama2_7b_chat,ve1s1g,oe
32,0.28125,0.5,0.6618357487922705,0.40889563868122714,mmlu:high_school_biology,validation,8.8568963278085,llama2_7b_chat,ve1s1g,oe
310,0.2774193584918976,0.4935483932495117,0.5564264950166112,0.34335314156183233,mmlu:high_school_biology,test,93.59524336643517,llama2_7b_chat,ve1s1g,oe
22,0.09090909361839294,0.3636363744735718,0.65,0.43210643246060326,mmlu:high_school_chemistry,validation,7.051701955497265,llama2_7b_chat,ve1s1g,oe
203,0.12807881832122803,0.3645320236682892,0.6417861799217732,0.49345615191675307,mmlu:high_school_chemistry,test,60.563844814896584,llama2_7b_chat,ve1s1g,oe
9,0.2222222238779068,0.4444444477558136,0.8214285714285714,0.5461176931858063,mmlu:high_school_computer_science,validation,2.6570935379713774,llama2_7b_chat,ve1s1g,oe
100,0.23999999463558197,0.5199999809265137,0.6576206140350875,0.3143776216005024,mmlu:high_school_computer_science,test,28.850249871611595,llama2_7b_chat,ve1s1g,oe
22,0.3181818127632141,0.40909093618392944,0.5238095238095238,0.43809524888084045,mmlu:high_school_geography,validation,6.495629211887717,llama2_7b_chat,ve1s1g,oe
198,0.28282827138900757,0.5,0.6238682092555332,0.39126282777541715,mmlu:high_school_geography,test,57.793421775102615,llama2_7b_chat,ve1s1g,oe
21,0.1428571492433548,0.523809552192688,0.6666666666666666,0.4256824851036072,mmlu:high_school_government_and_politics,validation,6.860432717949152,llama2_7b_chat,ve1s1g,oe
193,0.30051812529563904,0.6217616200447083,0.738441890166028,0.3251367741160922,mmlu:high_school_government_and_politics,test,56.59105829708278,llama2_7b_chat,ve1s1g,oe
43,0.27906978130340576,0.44186046719551086,0.5994623655913979,0.4497182147447453,mmlu:high_school_macroeconomics,validation,12.673102034255862,llama2_7b_chat,ve1s1g,oe
390,0.19487179815769196,0.4256410300731659,0.607965973851827,0.4499033508973084,mmlu:high_school_macroeconomics,test,111.49505273625255,llama2_7b_chat,ve1s1g,oe
29,0.17241379618644714,0.5517241358757019,0.6625,0.41964285927159445,mmlu:high_school_mathematics,validation,9.546228274703026,llama2_7b_chat,ve1s1g,oe
270,0.11851851642131805,0.45185184478759766,0.48417804621848737,0.44759620771263586,mmlu:high_school_mathematics,test,75.90864566713572,llama2_7b_chat,ve1s1g,oe
26,0.1538461595773697,0.42307692766189575,0.6590909090909091,0.4553031990161309,mmlu:high_school_microeconomics,validation,7.607501465827227,llama2_7b_chat,ve1s1g,oe
238,0.16806723177433014,0.4159664213657379,0.6188762626262626,0.476335854879741,mmlu:high_school_microeconomics,test,75.4535044003278,llama2_7b_chat,ve1s1g,oe
17,0.11764705926179886,0.5882353186607361,0.7333333333333334,0.48052597396513996,mmlu:high_school_physics,validation,6.74118622764945,llama2_7b_chat,ve1s1g,oe
151,0.14569535851478577,0.3907284736633301,0.5366455250176181,0.4727276542656859,mmlu:high_school_physics,test,45.509166495874524,llama2_7b_chat,ve1s1g,oe
60,0.38333335518836975,0.550000011920929,0.5681551116333725,0.31533466536423266,mmlu:high_school_psychology,validation,17.409070136025548,llama2_7b_chat,ve1s1g,oe
545,0.31926605105400085,0.4660550355911255,0.5886854416457539,0.3732307151872285,mmlu:high_school_psychology,test,194.1953744329512,llama2_7b_chat,ve1s1g,oe
23,0.08695652335882187,0.43478262424468994,0.45238095238095244,0.49322993646968494,mmlu:high_school_statistics,validation,7.390098508447409,llama2_7b_chat,ve1s1g,oe
216,0.09259259700775146,0.42129629850387573,0.5575255102040817,0.3938197437322365,mmlu:high_school_statistics,test,63.82691188342869,llama2_7b_chat,ve1s1g,oe
22,0.3636363744735718,0.6363636255264282,0.5714285714285714,0.20984878710338045,mmlu:high_school_us_history,validation,8.404900379478931,llama2_7b_chat,ve1s1g,oe
204,0.35784316062927246,0.6274510025978088,0.6383979922618426,0.2699318857482785,mmlu:high_school_us_history,test,71.09145167656243,llama2_7b_chat,ve1s1g,oe
23,0.21739131212234497,0.3478260934352875,0.6666666666666666,0.5364297032356262,mmlu:human_aging,validation,6.158071201294661,llama2_7b_chat,ve1s1g,oe
223,0.22869956493377686,0.42600899934768677,0.6106361149110807,0.43639792294780244,mmlu:human_aging,test,63.203007800504565,llama2_7b_chat,ve1s1g,oe
12,0.1666666716337204,0.4166666865348816,0.7,0.42184309661388397,mmlu:human_sexuality,validation,3.4592961128801107,llama2_7b_chat,ve1s1g,oe
131,0.12977099418640137,0.5877862572669983,0.6488648090815273,0.40745981243940504,mmlu:human_sexuality,test,35.84214377589524,llama2_7b_chat,ve1s1g,oe
13,0.3076923191547394,0.5384615659713745,0.5555555555555556,0.4166666766007741,mmlu:international_law,validation,5.14685745164752,llama2_7b_chat,ve1s1g,oe
121,0.23140494525432587,0.3966941833496094,0.5616359447004609,0.46965904446209183,mmlu:international_law,test,40.05490965209901,llama2_7b_chat,ve1s1g,oe
11,0.1818181872367859,0.8181818723678589,0.9444444444444444,0.42068244218826295,mmlu:jurisprudence,validation,4.1177708357572556,llama2_7b_chat,ve1s1g,oe
108,0.1388888955116272,0.5833333134651184,0.678853046594982,0.45066906774745275,mmlu:jurisprudence,test,34.86768048070371,llama2_7b_chat,ve1s1g,oe
18,0.2222222238779068,0.5,0.7142857142857143,0.3597647746404012,mmlu:logical_fallacies,validation,4.976437417790294,llama2_7b_chat,ve1s1g,oe
163,0.25153374671936035,0.546012282371521,0.5649740103958417,0.3583617521209951,mmlu:logical_fallacies,test,45.84421864338219,llama2_7b_chat,ve1s1g,oe
11,0.27272728085517883,0.4545454680919647,0.5625,0.4090909199281172,mmlu:machine_learning,validation,3.669219372794032,llama2_7b_chat,ve1s1g,oe
112,0.2053571492433548,0.4017857313156128,0.5586223742061553,0.47501381965620176,mmlu:machine_learning,test,31.45986095070839,llama2_7b_chat,ve1s1g,oe
11,0.3636363744735718,0.4545454680919647,0.4821428571428571,0.4034439108588479,mmlu:management,validation,3.0778215043246746,llama2_7b_chat,ve1s1g,oe
103,0.25242719054222107,0.3786407709121704,0.6223776223776224,0.48526813104314714,mmlu:management,test,27.29210613295436,llama2_7b_chat,ve1s1g,oe
25,0.23999999463558197,0.23999999463558197,0.3684210526315789,0.5160000085830689,mmlu:marketing,validation,7.661863729357719,llama2_7b_chat,ve1s1g,oe
234,0.25641027092933655,0.4700855016708374,0.6036877394636014,0.42432724636511737,mmlu:marketing,test,65.29772634804249,llama2_7b_chat,ve1s1g,oe
11,0.09090909361839294,0.5454545617103577,0.6,0.4102621186863292,mmlu:medical_genetics,validation,3.3086554761976004,llama2_7b_chat,ve1s1g,oe
100,0.19999998807907104,0.5699999928474426,0.4715625,0.3614930236339569,mmlu:medical_genetics,test,25.794989915564656,llama2_7b_chat,ve1s1g,oe
38,0.21052631735801697,0.7631579041481018,0.7041666666666666,0.3130589660845305,mmlu:moral_disputes,validation,12.29454287700355,llama2_7b_chat,ve1s1g,oe
346,0.21098265051841736,0.6040462255477905,0.6013347383210397,0.36677869926480683,mmlu:moral_disputes,test,104.76405841298401,llama2_7b_chat,ve1s1g,oe
33,0.27272728085517883,0.4545454680919647,0.6504629629629629,0.39832443540746515,mmlu:nutrition,validation,10.193129083141685,llama2_7b_chat,ve1s1g,oe
306,0.18300653994083405,0.7058823704719543,0.7995000000000001,0.32063426697840464,mmlu:nutrition,test,79.3868508413434,llama2_7b_chat,ve1s1g,oe
34,0.20588235557079315,0.6470588445663452,0.6746031746031746,0.3423103021852898,mmlu:philosophy,validation,8.280205296352506,llama2_7b_chat,ve1s1g,oe
311,0.1479099690914154,0.7202572226524353,0.6443396226415096,0.32873503984371044,mmlu:philosophy,test,77.55355852842331,llama2_7b_chat,ve1s1g,oe
35,0.2571428716182709,0.5428571701049805,0.5854700854700854,0.38787903104509636,mmlu:prehistory,validation,10.552653478458524,llama2_7b_chat,ve1s1g,oe
324,0.26543208956718445,0.4969135820865631,0.6082177056869259,0.37836838912668613,mmlu:prehistory,test,93.26387974061072,llama2_7b_chat,ve1s1g,oe
69,0.18840579688549042,0.695652186870575,0.7609890109890111,0.3497153244156768,mmlu:professional_psychology,validation,19.13353329896927,llama2_7b_chat,ve1s1g,oe
612,0.1388888955116272,0.5784313678741455,0.6183949101462216,0.4174686213465114,mmlu:professional_psychology,test,168.86614982783794,llama2_7b_chat,ve1s1g,oe
12,0.3333333432674408,0.5,0.765625,0.44545455412431195,mmlu:public_relations,validation,4.177738340571523,llama2_7b_chat,ve1s1g,oe
110,0.33636361360549927,0.4272727072238922,0.6301369863013699,0.38633560858390953,mmlu:public_relations,test,32.12806700356305,llama2_7b_chat,ve1s1g,oe
27,0.37037038803100586,0.4444444477558136,0.3294117647058824,0.3007015762505708,mmlu:security_studies,validation,9.552803784608841,llama2_7b_chat,ve1s1g,oe
245,0.33877548575401306,0.497959166765213,0.49010858247806044,0.30113813767373315,mmlu:security_studies,test,83.33502265810966,llama2_7b_chat,ve1s1g,oe
22,0.0,0.8636363744735718,,0.3952836800705303,mmlu:sociology,validation,6.434902371838689,llama2_7b_chat,ve1s1g,oe
201,0.1492537260055542,0.746268630027771,0.6901559454191034,0.3401447710394859,mmlu:sociology,test,56.019985577091575,llama2_7b_chat,ve1s1g,oe
11,0.3636363744735718,0.4545454680919647,0.5,0.333540141582489,mmlu:us_foreign_policy,validation,3.682249128818512,llama2_7b_chat,ve1s1g,oe
100,0.44999998807907104,0.5399999618530273,0.5779797979797979,0.26238697644361514,mmlu:us_foreign_policy,test,31.48025330901146,llama2_7b_chat,ve1s1g,oe
18,0.3333333432674408,0.6111111044883728,0.5902777777777777,0.15976477331585356,mmlu:virology,validation,8.448803855106235,llama2_7b_chat,ve1s1g,oe
166,0.1927710771560669,0.5301204919815063,0.6728078358208955,0.4125028310400067,mmlu:virology,test,45.919739201664925,llama2_7b_chat,ve1s1g,oe
19,0.42105263471603394,0.5263158082962036,0.7670454545454546,0.36653285868027635,mmlu:world_religions,validation,5.346233615651727,llama2_7b_chat,ve1s1g,oe
171,0.4502924084663391,0.5438596606254578,0.6373998342083448,0.28604157206541053,mmlu:world_religions,test,46.84742667898536,llama2_7b_chat,ve1s1g,oe
14,0.5,0.5,0.35714285714285715,0.30000001192092896,mmlu:anatomy,validation,7.439680990763009,llama2_7b_chat,ve1s1g,choice
135,0.4592592418193817,0.4740740656852722,0.5131462660185594,0.32121228449272393,mmlu:anatomy,test,32.54563142452389,llama2_7b_chat,ve1s1g,choice
16,0.0625,0.375,0.6333333333333333,0.4625000059604645,mmlu:astronomy,validation,4.475817137397826,llama2_7b_chat,ve1s1g,choice
152,0.42763158679008484,0.4934210479259491,0.5109637488947835,0.27800017515818276,mmlu:astronomy,test,42.46471962053329,llama2_7b_chat,ve1s1g,choice
11,0.6363636255264282,0.6363636255264282,0.6071428571428572,0.12727276845411822,mmlu:business_ethics,validation,2.7176471520215273,llama2_7b_chat,ve1s1g,choice
100,0.4899999797344208,0.4699999988079071,0.5912364945978391,0.2979798630030469,mmlu:business_ethics,test,24.937227747403085,llama2_7b_chat,ve1s1g,choice
29,0.37931033968925476,0.4482758641242981,0.39898989898989895,0.31034479059022047,mmlu:clinical_knowledge,validation,8.318160927854478,llama2_7b_chat,ve1s1g,choice
265,0.47924530506134033,0.4867924451828003,0.5106698619194341,0.2717558291122203,mmlu:clinical_knowledge,test,70.66784086357802,llama2_7b_chat,ve1s1g,choice
16,0.375,0.5,0.7,0.3750000074505806,mmlu:college_biology,validation,3.8913995092734694,llama2_7b_chat,ve1s1g,choice
144,0.4583333432674408,0.506944477558136,0.532051282051282,0.3006994582556345,mmlu:college_biology,test,42.696030768565834,llama2_7b_chat,ve1s1g,choice
8,0.125,0.25,0.5714285714285714,0.637500062584877,mmlu:college_chemistry,validation,2.4124433817341924,llama2_7b_chat,ve1s1g,choice
100,0.22999998927116394,0.28999999165534973,0.44776962168266515,0.47174234390258796,mmlu:college_chemistry,test,26.15599113330245,llama2_7b_chat,ve1s1g,choice
11,0.1818181872367859,0.3636363744735718,0.7222222222222222,0.545454588803378,mmlu:college_computer_science,validation,2.8188841305673122,llama2_7b_chat,ve1s1g,choice
100,0.35999998450279236,0.5099999904632568,0.6072048611111112,0.3357567052648525,mmlu:college_computer_science,test,24.598970610648394,llama2_7b_chat,ve1s1g,choice
11,0.27272728085517883,0.5454545617103577,0.7708333333333333,0.3590909025885842,mmlu:college_mathematics,validation,2.79283051379025,llama2_7b_chat,ve1s1g,choice
100,0.25,0.4599999785423279,0.5128,0.39340931296348575,mmlu:college_mathematics,test,26.15558636188507,llama2_7b_chat,ve1s1g,choice
22,0.3636363744735718,0.40909093618392944,0.5848214285714286,0.4045454615896399,mmlu:college_medicine,validation,7.944063742645085,llama2_7b_chat,ve1s1g,choice
173,0.3757225275039673,0.45086705684661865,0.5761396011396012,0.3735294661101173,mmlu:college_medicine,test,47.31080570071936,llama2_7b_chat,ve1s1g,choice
11,0.3636363744735718,0.5454545617103577,0.8571428571428571,0.2818181839856234,mmlu:college_physics,validation,3.1181384986266494,llama2_7b_chat,ve1s1g,choice
102,0.22549019753932953,0.3333333432674408,0.453494771601541,0.48947641696080124,mmlu:college_physics,test,25.790177261456847,llama2_7b_chat,ve1s1g,choice
11,0.4545454680919647,0.5454545617103577,0.55,0.2426310506733981,mmlu:computer_security,validation,3.4690814334899187,llama2_7b_chat,ve1s1g,choice
100,0.5399999618530273,0.5199999809265137,0.5140901771336553,0.2622451143605369,mmlu:computer_security,test,25.22457738313824,llama2_7b_chat,ve1s1g,choice
26,0.3461538553237915,0.3076923191547394,0.4411764705882353,0.4538461130398971,mmlu:conceptual_physics,validation,6.515444944612682,llama2_7b_chat,ve1s1g,choice
235,0.37021276354789734,0.3957446813583374,0.5641891891891891,0.39679493252028764,mmlu:conceptual_physics,test,56.31431918498129,llama2_7b_chat,ve1s1g,choice
12,0.25,0.1666666716337204,0.4074074074074074,0.5916666736205419,mmlu:econometrics,validation,3.0453570475801826,llama2_7b_chat,ve1s1g,choice
114,0.2719298303127289,0.34210526943206787,0.5398367664205208,0.4701754602423886,mmlu:econometrics,test,26.5669028731063,llama2_7b_chat,ve1s1g,choice
16,0.3125,0.375,0.5272727272727272,0.4000000059604645,mmlu:electrical_engineering,validation,4.115715187042952,llama2_7b_chat,ve1s1g,choice
145,0.45517241954803467,0.48965516686439514,0.4826428845416187,0.2834484157891109,mmlu:electrical_engineering,test,35.71324011031538,llama2_7b_chat,ve1s1g,choice
41,0.31707316637039185,0.4390243887901306,0.46703296703296704,0.35929410341309337,mmlu:elementary_mathematics,validation,10.321348300203681,llama2_7b_chat,ve1s1g,choice
378,0.28835979104042053,0.4444444179534912,0.5501517683571502,0.3435023823846873,mmlu:elementary_mathematics,test,93.87062094919384,llama2_7b_chat,ve1s1g,choice
14,0.2142857313156128,0.5,0.40909090909090906,0.23744527782712666,mmlu:formal_logic,validation,3.3342440146952868,llama2_7b_chat,ve1s1g,choice
126,0.3253968358039856,0.5,0.5840746054519369,0.262319311736122,mmlu:formal_logic,test,28.736796900629997,llama2_7b_chat,ve1s1g,choice
10,0.4000000059604645,0.5,0.12499999999999997,0.3130000054836273,mmlu:global_facts,validation,2.6384102748706937,llama2_7b_chat,ve1s1g,choice
100,0.3999999761581421,0.47999998927116394,0.37625000000000003,0.1326999896764755,mmlu:global_facts,test,22.412587814964354,llama2_7b_chat,ve1s1g,choice
32,0.3125,0.5625,0.6954545454545455,0.40281246043741703,mmlu:high_school_biology,validation,8.381193969398737,llama2_7b_chat,ve1s1g,choice
310,0.4935483932495117,0.5548387169837952,0.5259356396486408,0.24342375430688018,mmlu:high_school_biology,test,119.38584992755204,llama2_7b_chat,ve1s1g,choice
22,0.27272728085517883,0.3636363744735718,0.46875,0.4309572198174217,mmlu:high_school_chemistry,validation,6.312774837017059,llama2_7b_chat,ve1s1g,choice
203,0.29064038395881653,0.3054186999797821,0.4961158192090396,0.4569907510044551,mmlu:high_school_chemistry,test,53.678591904230416,llama2_7b_chat,ve1s1g,choice
9,0.6666666865348816,0.4444444477558136,0.4166666666666667,0.3222222328186035,mmlu:high_school_computer_science,validation,2.944338788278401,llama2_7b_chat,ve1s1g,choice
100,0.3999999761581421,0.4899999797344208,0.535625,0.27831062793731687,mmlu:high_school_computer_science,test,23.753414402715862,llama2_7b_chat,ve1s1g,choice
22,0.6363636255264282,0.6818181872367859,0.6205357142857143,0.10952381860642206,mmlu:high_school_geography,validation,5.169454732909799,llama2_7b_chat,ve1s1g,choice
198,0.560606062412262,0.5808081030845642,0.6121984053018537,0.24102580333367368,mmlu:high_school_geography,test,49.76026505418122,llama2_7b_chat,ve1s1g,choice
21,0.2857142984867096,0.4761904776096344,0.6666666666666667,0.45238096089590163,mmlu:high_school_government_and_politics,validation,5.342462105676532,llama2_7b_chat,ve1s1g,choice
193,0.5958548784255981,0.6269429922103882,0.5638795986622074,0.1854167863105734,mmlu:high_school_government_and_politics,test,46.34879615530372,llama2_7b_chat,ve1s1g,choice
43,0.3720930218696594,0.39534884691238403,0.5138888888888888,0.3790697192036828,mmlu:high_school_macroeconomics,validation,9.91551289241761,llama2_7b_chat,ve1s1g,choice
390,0.3769230842590332,0.4025641083717346,0.5181685843061505,0.37329326573864663,mmlu:high_school_macroeconomics,test,96.04217949789017,llama2_7b_chat,ve1s1g,choice
29,0.20689654350280762,0.6206896305084229,0.5869565217391304,0.2837931411019687,mmlu:high_school_mathematics,validation,7.6584721663966775,llama2_7b_chat,ve1s1g,choice
270,0.21111111342906952,0.529629647731781,0.4758668972901738,0.33673953453996286,mmlu:high_school_mathematics,test,69.07905846461654,llama2_7b_chat,ve1s1g,choice
26,0.3076923191547394,0.3076923191547394,0.5277777777777778,0.4884615494654729,mmlu:high_school_microeconomics,validation,6.39469110686332,llama2_7b_chat,ve1s1g,choice
238,0.3445378243923187,0.3739495873451233,0.555972482801751,0.41864419816914256,mmlu:high_school_microeconomics,test,58.9150574170053,llama2_7b_chat,ve1s1g,choice
17,0.29411765933036804,0.47058823704719543,0.6,0.34217991197810455,mmlu:high_school_physics,validation,5.620722780004144,llama2_7b_chat,ve1s1g,choice
151,0.26490065455436707,0.33112582564353943,0.42894144144144153,0.4383378210446693,mmlu:high_school_physics,test,39.50857132486999,llama2_7b_chat,ve1s1g,choice
60,0.6000000238418579,0.6000000238418579,0.5393518518518519,0.18135599968797064,mmlu:high_school_psychology,validation,13.916902648285031,llama2_7b_chat,ve1s1g,choice
545,0.5688073635101318,0.5706422328948975,0.5757858613589568,0.21537106415442436,mmlu:high_school_psychology,test,140.85189168993384,llama2_7b_chat,ve1s1g,choice
23,0.260869562625885,0.6086956858634949,0.7058823529411764,0.3482156162676604,mmlu:high_school_statistics,validation,6.347634874284267,llama2_7b_chat,ve1s1g,choice
216,0.21296297013759613,0.35648149251937866,0.5670716112531969,0.4506015665126296,mmlu:high_school_statistics,test,56.163479102775455,llama2_7b_chat,ve1s1g,choice
22,0.6818181872367859,0.6818181872367859,0.5,0.11818177049810241,mmlu:high_school_us_history,validation,7.1604375978931785,llama2_7b_chat,ve1s1g,choice
204,0.524509847164154,0.5637255311012268,0.535600732247808,0.25572163074170773,mmlu:high_school_us_history,test,63.375017208978534,llama2_7b_chat,ve1s1g,choice
23,0.47826087474823,0.52173912525177,0.5416666666666666,0.30000000932942267,mmlu:human_aging,validation,5.899084475822747,llama2_7b_chat,ve1s1g,choice
223,0.5022422075271606,0.5067265033721924,0.5844594594594595,0.2789239343506339,mmlu:human_aging,test,57.151304099708796,llama2_7b_chat,ve1s1g,choice
12,0.4166666865348816,0.4166666865348816,0.7142857142857143,0.42500000695387524,mmlu:human_sexuality,validation,3.0255215130746365,llama2_7b_chat,ve1s1g,choice
131,0.4580152630805969,0.442748099565506,0.5402582159624413,0.31769244028971744,mmlu:human_sexuality,test,31.60156551003456,llama2_7b_chat,ve1s1g,choice
13,0.7692307829856873,0.7692307829856873,0.4,0.10769231961323664,mmlu:international_law,validation,3.195734982378781,llama2_7b_chat,ve1s1g,choice
121,0.5206611156463623,0.5454545021057129,0.5413245758073344,0.22644652266147713,mmlu:international_law,test,35.25682970136404,llama2_7b_chat,ve1s1g,choice
11,0.3636363744735718,0.5454545617103577,0.5,0.25454546646638354,mmlu:jurisprudence,validation,3.0386666618287563,llama2_7b_chat,ve1s1g,choice
108,0.472222238779068,0.5277777910232544,0.6030271757825938,0.2912349522670853,mmlu:jurisprudence,test,25.5016495520249,llama2_7b_chat,ve1s1g,choice
18,0.6666666865348816,0.6666666865348816,0.5833333333333333,0.12777778837415904,mmlu:logical_fallacies,validation,4.7122161369770765,llama2_7b_chat,ve1s1g,choice
163,0.5766870975494385,0.5521472096443176,0.49861239592969475,0.22870375528747655,mmlu:logical_fallacies,test,39.418198936618865,llama2_7b_chat,ve1s1g,choice
11,0.3636363744735718,0.3636363744735718,0.3392857142857143,0.3454545465382663,mmlu:machine_learning,validation,2.9760797852650285,llama2_7b_chat,ve1s1g,choice
112,0.3839285969734192,0.4285714626312256,0.5338725985844287,0.3672729882326993,mmlu:machine_learning,test,26.778792524710298,llama2_7b_chat,ve1s1g,choice
11,0.5454545617103577,0.6363636255264282,0.6,0.1545454642989419,mmlu:management,validation,2.6048836959525943,llama2_7b_chat,ve1s1g,choice
103,0.49514564871788025,0.48543688654899597,0.5369532428355958,0.299029380372427,mmlu:management,test,23.85364285763353,llama2_7b_chat,ve1s1g,choice
25,0.5999999642372131,0.6399999856948853,0.55,0.15600001096725466,mmlu:marketing,validation,7.638352639973164,llama2_7b_chat,ve1s1g,choice
234,0.6538462042808533,0.6752136945724487,0.5647542967804406,0.12991471040962085,mmlu:marketing,test,55.79804051760584,llama2_7b_chat,ve1s1g,choice
11,0.8181818723678589,0.9090909361839294,0.25,0.1022726622494784,mmlu:medical_genetics,validation,3.1181962098926306,llama2_7b_chat,ve1s1g,choice
100,0.5299999713897705,0.5399999618530273,0.5499799277398636,0.1979797970164906,mmlu:medical_genetics,test,25.503777472302318,llama2_7b_chat,ve1s1g,choice
38,0.5,0.4736842215061188,0.49584487534626037,0.30526316636487055,mmlu:moral_disputes,validation,9.813705340959132,llama2_7b_chat,ve1s1g,choice
