dataset,fuzzy_gpt-3\\.5-turbo-1106_ece_counting,fuzzy_gpt-3\\.5-turbo-1106_ece_likelihood,fuzzy_gpt-3\\.5-turbo-1106_auroc_counting,fuzzy_gpt-3\\.5-turbo-1106_auroc_likelihood,fuzzy_gpt-3\\.5-turbo-1106_unc_prediction_counting,fuzzy_gpt-3\\.5-turbo-1106_unc_prediction_likelihood,split,model
mmlu:astronomy,0.19999999999999998,0.19453147671885737,0.662109375,0.67578125,0.15625,0.125,run-20240222_055031-5yyzk9cg,llama2_7b
mmlu:astronomy,0.25625000000000003,0.2724902744453694,0.51953125,0.5625,0.03125,0.0,run-20240222_055031-5yyzk9cg,llama2_7b
mmlu:astronomy,0.25,0.29015070398396936,0.3643724696356275,0.2834008097165992,0.09375,0.0625,run-20240222_055031-5yyzk9cg,llama2_7b
mmlu:astronomy,0.35624999999999996,0.41631258455145914,0.46536796536796543,0.49350649350649345,0.25,0.125,run-20240222_055031-5yyzk9cg,llama2_7b
mmlu:astronomy,0.29375,0.32606600851910594,0.4384920634920635,0.46031746031746035,0.09375,0.03125,run-20240222_055031-5yyzk9cg,llama2_7b
mmlu:astronomy,0.26875,0.2665997003625361,,,0.0,0.0,run-20240222_055031-5yyzk9cg,llama2_7b
mmlu:astronomy,0.28125,0.2754320657251561,,,0.0,0.0,run-20240222_055031-5yyzk9cg,llama2_7b
mmlu:astronomy,0.28125,0.2786146678200199,,,0.0,0.0,run-20240222_055031-5yyzk9cg,llama2_7b
mmlu:astronomy,0.2125,0.2433537328437355,,,0.0,0.0,run-20240222_055031-5yyzk9cg,llama2_7b
mmlu:astronomy,0.30624999999999997,0.3059030910430484,,,0.0,0.0,run-20240222_055031-5yyzk9cg,llama2_7b
mmlu:astronomy,0.19999999999999998,0.19453147671885737,0.662109375,0.67578125,0.15625,0.125,latest-run,llama2_7b
mmlu:astronomy,0.25625000000000003,0.2724902744453694,0.51953125,0.5625,0.03125,0.0,latest-run,llama2_7b
mmlu:astronomy,0.25,0.29015070398396936,0.3643724696356275,0.2834008097165992,0.09375,0.0625,latest-run,llama2_7b
mmlu:astronomy,0.35624999999999996,0.41631258455145914,0.46536796536796543,0.49350649350649345,0.25,0.125,latest-run,llama2_7b
mmlu:astronomy,0.29375,0.32606600851910594,0.4384920634920635,0.46031746031746035,0.09375,0.03125,latest-run,llama2_7b
mmlu:astronomy,0.26875,0.2665997003625361,,,0.0,0.0,latest-run,llama2_7b
mmlu:astronomy,0.28125,0.2754320657251561,,,0.0,0.0,latest-run,llama2_7b
mmlu:astronomy,0.28125,0.2786146678200199,,,0.0,0.0,latest-run,llama2_7b
mmlu:astronomy,0.2125,0.2433537328437355,,,0.0,0.0,latest-run,llama2_7b
mmlu:astronomy,0.30624999999999997,0.3059030910430484,,,0.0,0.0,latest-run,llama2_7b
mmlu:high_school_computer_science,0.202,0.2230948252114871,0.5394088669950738,0.541256157635468,0.06,0.04,test,llama2_7b
mmlu:high_school_computer_science,0.1333333333333333,0.3076672232739088,,,0.0,0.0,validation,llama2_7b
mmlu:high_school_computer_science,0.202,0.2230948252114871,0.5394088669950738,0.541256157635468,0.06,0.04,run-20240222_082721-bsubwk98,llama2_7b
mmlu:high_school_computer_science,0.1333333333333333,0.3076672232739088,,,0.0,0.0,run-20240222_082721-bsubwk98,llama2_7b
mmlu:high_school_computer_science,0.202,0.2230948252114871,0.5394088669950738,0.541256157635468,0.06,0.04,latest-run,llama2_7b
mmlu:high_school_computer_science,0.1333333333333333,0.3076672232739088,,,0.0,0.0,latest-run,llama2_7b
mmlu:jurisprudence,0.21481481481481474,0.24895178164605627,0.44561717352415026,0.42969588550983895,0.037037037037037035,0.018518518518518517,test,llama2_7b
mmlu:jurisprudence,0.24545454545454548,0.2970943912930094,,,0.0,0.0,validation,llama2_7b
mmlu:jurisprudence,0.21481481481481474,0.24895178164605627,0.44561717352415026,0.42969588550983895,0.037037037037037035,0.018518518518518517,latest-run,llama2_7b
mmlu:jurisprudence,0.24545454545454548,0.2970943912930094,,,0.0,0.0,latest-run,llama2_7b
mmlu:jurisprudence,0.21481481481481474,0.24895178164605627,0.44561717352415026,0.42969588550983895,0.037037037037037035,0.018518518518518517,run-20240222_111227-8t7lcylr,llama2_7b
mmlu:jurisprudence,0.24545454545454548,0.2970943912930094,,,0.0,0.0,run-20240222_111227-8t7lcylr,llama2_7b
mmlu:sociology,0.1353233830845771,0.1204628500592428,0.5535714285714285,0.5481252618349393,0.1691542288557214,0.13432835820895522,test,llama2_7b
mmlu:sociology,0.10454545454545454,0.12178062495831034,,,0.18181818181818182,0.13636363636363635,validation,llama2_7b
mmlu:sociology,0.1353233830845771,0.1204628500592428,0.5535714285714285,0.5481252618349393,0.1691542288557214,0.13432835820895522,run-20240223_143400-uy9kw2cl,llama2_7b
mmlu:sociology,0.10454545454545454,0.12178062495831034,,,0.18181818181818182,0.13636363636363635,run-20240223_143400-uy9kw2cl,llama2_7b
mmlu:sociology,0.1353233830845771,0.1204628500592428,0.5535714285714285,0.5481252618349393,0.1691542288557214,0.13432835820895522,latest-run,llama2_7b
mmlu:sociology,0.10454545454545454,0.12178062495831034,,,0.18181818181818182,0.13636363636363635,latest-run,llama2_7b
mmlu:anatomy,0.13407407407407407,0.15382760209711965,0.48561552185548623,0.4654326494201606,0.24444444444444444,0.14814814814814814,test,llama2_7b
mmlu:anatomy,0.2571428571428572,0.3313817189877594,,,0.0,0.0,validation,llama2_7b
mmlu:anatomy,0.13407407407407407,0.15382760209711965,0.48561552185548623,0.4654326494201606,0.24444444444444444,0.14814814814814814,latest-run,llama2_7b
mmlu:anatomy,0.2571428571428572,0.3313817189877594,,,0.0,0.0,latest-run,llama2_7b
mmlu:anatomy,0.13407407407407407,0.15382760209711965,0.48561552185548623,0.4654326494201606,0.24444444444444444,0.14814814814814814,run-20240223_113224-9ncpsyas,llama2_7b
mmlu:anatomy,0.2571428571428572,0.3313817189877594,,,0.0,0.0,run-20240223_113224-9ncpsyas,llama2_7b
mmlu:elementary_mathematics,0.09074074074074066,0.10758401299450739,0.5611210792131843,0.5682482721956406,0.26455026455026454,0.17724867724867724,test,llama2_7b
mmlu:elementary_mathematics,0.15121951219512197,0.1672028188699084,,,0.14634146341463414,0.14634146341463414,validation,llama2_7b
mmlu:elementary_mathematics,0.09074074074074066,0.10758401299450739,0.5611210792131843,0.5682482721956406,0.26455026455026454,0.17724867724867724,run-20240222_072224-rhawhd7k,llama2_7b
mmlu:elementary_mathematics,0.15121951219512197,0.1672028188699084,,,0.14634146341463414,0.14634146341463414,run-20240222_072224-rhawhd7k,llama2_7b
mmlu:elementary_mathematics,0.09074074074074066,0.10758401299450739,0.5611210792131843,0.5682482721956406,0.26455026455026454,0.17724867724867724,latest-run,llama2_7b
mmlu:elementary_mathematics,0.15121951219512197,0.1672028188699084,,,0.14634146341463414,0.14634146341463414,latest-run,llama2_7b
mmlu:prehistory,0.13425925925925924,0.14777806479412037,0.5334999803172852,0.5318859977168051,0.10802469135802469,0.07716049382716049,test,llama2_7b
mmlu:prehistory,0.12285714285714287,0.22061369276039017,,,0.11428571428571428,0.05714285714285714,validation,llama2_7b
mmlu:prehistory,0.13425925925925924,0.14777806479412037,0.5334999803172852,0.5318859977168051,0.10802469135802469,0.07716049382716049,run-20240223_122810-qz7n3xq3,llama2_7b
mmlu:prehistory,0.12285714285714287,0.22061369276039017,,,0.11428571428571428,0.05714285714285714,run-20240223_122810-qz7n3xq3,llama2_7b
mmlu:prehistory,0.13425925925925924,0.14777806479412037,0.5334999803172852,0.5318859977168051,0.10802469135802469,0.07716049382716049,latest-run,llama2_7b
mmlu:prehistory,0.12285714285714287,0.22061369276039017,,,0.11428571428571428,0.05714285714285714,latest-run,llama2_7b
mmlu:moral_disputes,0.18670520231213872,0.19252926007623933,0.5180543227409906,0.5165453577134741,0.028901734104046242,0.023121387283236993,test,llama2_7b
mmlu:moral_disputes,0.15000000000000002,0.21406715601826634,,,0.02631578947368421,0.0,validation,llama2_7b
mmlu:moral_disputes,0.18670520231213872,0.19252926007623933,0.5180543227409906,0.5165453577134741,0.028901734104046242,0.023121387283236993,run-20240222_122414-6t65p57k,llama2_7b
mmlu:moral_disputes,0.15000000000000002,0.21406715601826634,,,0.02631578947368421,0.0,run-20240222_122414-6t65p57k,llama2_7b
mmlu:moral_disputes,0.18670520231213872,0.19252926007623933,0.5180543227409906,0.5165453577134741,0.028901734104046242,0.023121387283236993,latest-run,llama2_7b
mmlu:moral_disputes,0.15000000000000002,0.21406715601826634,,,0.02631578947368421,0.0,latest-run,llama2_7b
mmlu:machine_learning,0.09107142857142857,0.12642487175575096,0.5117647058823529,0.4936819172113289,0.044642857142857144,0.026785714285714284,test,llama2_7b
mmlu:machine_learning,0.2909090909090909,0.38245660901579825,,,0.0,0.0,validation,llama2_7b
mmlu:machine_learning,0.09107142857142857,0.12642487175575096,0.5117647058823529,0.4936819172113289,0.044642857142857144,0.026785714285714284,run-20240222_112504-dijr4mqr,llama2_7b
mmlu:machine_learning,0.2909090909090909,0.38245660901579825,,,0.0,0.0,run-20240222_112504-dijr4mqr,llama2_7b
mmlu:machine_learning,0.09107142857142857,0.12642487175575096,0.5117647058823529,0.4936819172113289,0.044642857142857144,0.026785714285714284,latest-run,llama2_7b
mmlu:machine_learning,0.2909090909090909,0.38245660901579825,,,0.0,0.0,latest-run,llama2_7b
mmlu:high_school_microeconomics,0.10756302521008408,0.12924604103375129,0.5270032051282051,0.5181089743589744,0.07563025210084033,0.0546218487394958,test,llama2_7b
mmlu:high_school_microeconomics,0.1807692307692308,0.18154422899503425,,,0.07692307692307693,0.07692307692307693,validation,llama2_7b
mmlu:high_school_microeconomics,0.10756302521008408,0.12924604103375129,0.5270032051282051,0.5181089743589744,0.07563025210084033,0.0546218487394958,run-20240222_093709-gfsfolyp,llama2_7b
mmlu:high_school_microeconomics,0.1807692307692308,0.18154422899503425,,,0.07692307692307693,0.07692307692307693,run-20240222_093709-gfsfolyp,llama2_7b
mmlu:high_school_microeconomics,0.10756302521008408,0.12924604103375129,0.5270032051282051,0.5181089743589744,0.07563025210084033,0.0546218487394958,latest-run,llama2_7b
mmlu:high_school_microeconomics,0.1807692307692308,0.18154422899503425,,,0.07692307692307693,0.07692307692307693,latest-run,llama2_7b
mmlu:college_computer_science,0.113,0.11128776915253871,0.4821312540610786,0.4876543209876543,0.04,0.03,test,llama2_7b
mmlu:college_computer_science,0.19999999999999996,0.22298699515376433,,,0.0,0.0,validation,llama2_7b
mmlu:college_computer_science,0.113,0.11128776915253871,0.4821312540610786,0.4876543209876543,0.04,0.03,run-20240222_062214-q3unuvr4,llama2_7b
mmlu:college_computer_science,0.19999999999999996,0.22298699515376433,,,0.0,0.0,run-20240222_062214-q3unuvr4,llama2_7b
mmlu:college_computer_science,0.113,0.11128776915253871,0.4821312540610786,0.4876543209876543,0.04,0.03,latest-run,llama2_7b
mmlu:college_computer_science,0.19999999999999996,0.22298699515376433,,,0.0,0.0,latest-run,llama2_7b
mmlu:security_studies,0.38,0.38136360068412456,0.48408968850698175,0.48647287862513433,0.0,0.0,test,llama2_7b
mmlu:security_studies,0.362962962962963,0.36241933137361104,,,0.0,0.0,validation,llama2_7b
mmlu:security_studies,0.38,0.38136360068412456,0.48408968850698175,0.48647287862513433,0.0,0.0,run-20240223_141613-zc6ltxv4,llama2_7b
mmlu:security_studies,0.362962962962963,0.36241933137361104,,,0.0,0.0,run-20240223_141613-zc6ltxv4,llama2_7b
mmlu:security_studies,0.38,0.38136360068412456,0.48408968850698175,0.48647287862513433,0.0,0.0,latest-run,llama2_7b
mmlu:security_studies,0.362962962962963,0.36241933137361104,,,0.0,0.0,latest-run,llama2_7b
mmlu:management,0.08834951456310676,0.07102869993760626,0.5585430968726163,0.5881006864988558,0.4368932038834951,0.32038834951456313,test,llama2_7b
mmlu:management,0.15454545454545454,0.24098642096277925,,,0.36363636363636365,0.2727272727272727,validation,llama2_7b
mmlu:management,0.08834951456310676,0.07102869993760626,0.5585430968726163,0.5881006864988558,0.4368932038834951,0.32038834951456313,run-20240222_113152-ita4hcu9,llama2_7b
mmlu:management,0.15454545454545454,0.24098642096277925,,,0.36363636363636365,0.2727272727272727,run-20240222_113152-ita4hcu9,llama2_7b
mmlu:management,0.08834951456310676,0.07102869993760626,0.5585430968726163,0.5881006864988558,0.4368932038834951,0.32038834951456313,latest-run,llama2_7b
mmlu:management,0.15454545454545454,0.24098642096277925,,,0.36363636363636365,0.2727272727272727,latest-run,llama2_7b
mmlu:econometrics,0.07894736842105261,0.11450468766122344,0.5406306852637961,0.530018192844148,0.0,0.0,test,llama2_7b
mmlu:econometrics,0.30833333333333335,0.2903291578085273,,,0.08333333333333333,0.08333333333333333,validation,llama2_7b
mmlu:econometrics,0.07894736842105261,0.11450468766122344,0.5406306852637961,0.530018192844148,0.0,0.0,run-20240222_070714-36fprjxp,llama2_7b
mmlu:econometrics,0.30833333333333335,0.2903291578085273,,,0.08333333333333333,0.08333333333333333,run-20240222_070714-36fprjxp,llama2_7b
mmlu:econometrics,0.07894736842105261,0.11450468766122344,0.5406306852637961,0.530018192844148,0.0,0.0,latest-run,llama2_7b
mmlu:econometrics,0.30833333333333335,0.2903291578085273,,,0.08333333333333333,0.08333333333333333,latest-run,llama2_7b
mmlu:professional_medicine,0.11213235294117647,0.13064438927064503,0.5289122389637854,0.5283505154639175,0.05514705882352941,0.029411764705882353,test,llama2_7b
mmlu:professional_medicine,0.2290322580645161,0.21782706274651353,,,0.1935483870967742,0.16129032258064516,validation,llama2_7b
mmlu:professional_medicine,0.11213235294117647,0.13064438927064503,0.5289122389637854,0.5283505154639175,0.05514705882352941,0.029411764705882353,run-20240223_130223-i73z4066,llama2_7b
mmlu:professional_medicine,0.2290322580645161,0.21782706274651353,,,0.1935483870967742,0.16129032258064516,run-20240223_130223-i73z4066,llama2_7b
mmlu:professional_medicine,0.11213235294117647,0.13064438927064503,0.5289122389637854,0.5283505154639175,0.05514705882352941,0.029411764705882353,latest-run,llama2_7b
mmlu:professional_medicine,0.2290322580645161,0.21782706274651353,,,0.1935483870967742,0.16129032258064516,latest-run,llama2_7b
mmlu:high_school_geography,0.07575757575757583,0.08973500142314665,0.5678329934528281,0.5806590104110765,0.23737373737373738,0.16161616161616163,test,llama2_7b
mmlu:high_school_geography,0.14090909090909085,0.18143481168413142,,,0.4090909090909091,0.2727272727272727,validation,llama2_7b
mmlu:high_school_geography,0.07575757575757583,0.08973500142314665,0.5678329934528281,0.5806590104110765,0.23737373737373738,0.16161616161616163,latest-run,llama2_7b
mmlu:high_school_geography,0.14090909090909085,0.18143481168413142,,,0.4090909090909091,0.2727272727272727,latest-run,llama2_7b
mmlu:high_school_geography,0.07575757575757583,0.08973500142314665,0.5678329934528281,0.5806590104110765,0.23737373737373738,0.16161616161616163,run-20240222_084058-17ttjcvt,llama2_7b
mmlu:high_school_geography,0.14090909090909085,0.18143481168413142,,,0.4090909090909091,0.2727272727272727,run-20240222_084058-17ttjcvt,llama2_7b
mmlu:public_relations,0.0490909090909091,0.06008489265774636,0.6627312081857537,0.6706021251475797,0.045454545454545456,0.01818181818181818,test,llama2_7b
mmlu:public_relations,0.3666666666666667,0.3530209433966125,,,0.16666666666666666,0.08333333333333333,validation,llama2_7b
mmlu:public_relations,0.0490909090909091,0.06008489265774636,0.6627312081857537,0.6706021251475797,0.045454545454545456,0.01818181818181818,run-20240223_140833-wtupyopj,llama2_7b
mmlu:public_relations,0.3666666666666667,0.3530209433966125,,,0.16666666666666666,0.08333333333333333,run-20240223_140833-wtupyopj,llama2_7b
mmlu:public_relations,0.0490909090909091,0.06008489265774636,0.6627312081857537,0.6706021251475797,0.045454545454545456,0.01818181818181818,latest-run,llama2_7b
mmlu:public_relations,0.3666666666666667,0.3530209433966125,,,0.16666666666666666,0.08333333333333333,latest-run,llama2_7b
mmlu:miscellaneous,0.0850322580645161,0.10794321134725474,0.5630939524838013,0.5563242440604752,0.7484035759897829,0.6590038314176245,test,llama2_7b
mmlu:miscellaneous,0.13837209302325576,0.1944745835635917,,,0.7093023255813954,0.6046511627906976,validation,llama2_7b
mmlu:miscellaneous,0.0850322580645161,0.10794321134725474,0.5630939524838013,0.5563242440604752,0.7484035759897829,0.6590038314176245,run-20240222_115248-chwqf8e1,llama2_7b
mmlu:miscellaneous,0.13837209302325576,0.1944745835635917,,,0.7093023255813954,0.6046511627906976,run-20240222_115248-chwqf8e1,llama2_7b
mmlu:miscellaneous,0.0850322580645161,0.10794321134725474,0.5630939524838013,0.5563242440604752,0.7484035759897829,0.6590038314176245,latest-run,llama2_7b
mmlu:miscellaneous,0.13837209302325576,0.1944745835635917,,,0.7093023255813954,0.6046511627906976,latest-run,llama2_7b
mmlu:clinical_knowledge,0.14687500000000006,0.233897466861509,0.5166666666666667,0.5067708333333333,0.046875,0.015625,test,llama2_7b
mmlu:clinical_knowledge,0.16093749999999996,0.19045298255086454,0.5775193798449613,0.584717607973422,0.0625,0.046875,test,llama2_7b
mmlu:clinical_knowledge,0.19375,0.24051902008773868,0.5597165991902834,0.562753036437247,0.046875,0.03125,test,llama2_7b
mmlu:clinical_knowledge,0.18125000000000002,0.18271174721266675,0.5804655870445344,0.5516194331983806,0.109375,0.078125,test,llama2_7b
mmlu:clinical_knowledge,0.1453125,0.1613062936789297,0.5701754385964911,0.5163742690058479,0.09375,0.078125,test,llama2_7b
mmlu:clinical_knowledge,0.14375,0.1388366391683466,,,0.0,0.0,validation,llama2_7b
mmlu:clinical_knowledge,0.22499999999999998,0.17657969549160626,,,0.0625,0.0625,validation,llama2_7b
mmlu:clinical_knowledge,0.14375,0.27357531575288957,,,0.0,0.0,validation,llama2_7b
mmlu:clinical_knowledge,0.13124999999999998,0.12599703361390757,,,0.0,0.0,validation,llama2_7b
mmlu:clinical_knowledge,0.175,0.1772641152233793,,,0.0,0.0,validation,llama2_7b
mmlu:clinical_knowledge,0.14687500000000006,0.233897466861509,0.5166666666666667,0.5067708333333333,0.046875,0.015625,latest-run,llama2_7b
mmlu:clinical_knowledge,0.16093749999999996,0.19045298255086454,0.5775193798449613,0.584717607973422,0.0625,0.046875,latest-run,llama2_7b
mmlu:clinical_knowledge,0.19375,0.24051902008773868,0.5597165991902834,0.562753036437247,0.046875,0.03125,latest-run,llama2_7b
mmlu:clinical_knowledge,0.18125000000000002,0.18271174721266675,0.5804655870445344,0.5516194331983806,0.109375,0.078125,latest-run,llama2_7b
mmlu:clinical_knowledge,0.1453125,0.1613062936789297,0.5701754385964911,0.5163742690058479,0.09375,0.078125,latest-run,llama2_7b
mmlu:clinical_knowledge,0.14375,0.1388366391683466,,,0.0,0.0,latest-run,llama2_7b
mmlu:clinical_knowledge,0.22499999999999998,0.17657969549160626,,,0.0625,0.0625,latest-run,llama2_7b
mmlu:clinical_knowledge,0.14375,0.27357531575288957,,,0.0,0.0,latest-run,llama2_7b
mmlu:clinical_knowledge,0.13124999999999998,0.12599703361390757,,,0.0,0.0,latest-run,llama2_7b
mmlu:clinical_knowledge,0.175,0.1772641152233793,,,0.0,0.0,latest-run,llama2_7b
mmlu:clinical_knowledge,0.14687500000000006,0.233897466861509,0.5166666666666667,0.5067708333333333,0.046875,0.015625,run-20240222_055747-47hab5fl,llama2_7b
mmlu:clinical_knowledge,0.16093749999999996,0.19045298255086454,0.5775193798449613,0.584717607973422,0.0625,0.046875,run-20240222_055747-47hab5fl,llama2_7b
mmlu:clinical_knowledge,0.19375,0.24051902008773868,0.5597165991902834,0.562753036437247,0.046875,0.03125,run-20240222_055747-47hab5fl,llama2_7b
mmlu:clinical_knowledge,0.18125000000000002,0.18271174721266675,0.5804655870445344,0.5516194331983806,0.109375,0.078125,run-20240222_055747-47hab5fl,llama2_7b
mmlu:clinical_knowledge,0.1453125,0.1613062936789297,0.5701754385964911,0.5163742690058479,0.09375,0.078125,run-20240222_055747-47hab5fl,llama2_7b
mmlu:clinical_knowledge,0.14375,0.1388366391683466,,,0.0,0.0,run-20240222_055747-47hab5fl,llama2_7b
mmlu:clinical_knowledge,0.22499999999999998,0.17657969549160626,,,0.0625,0.0625,run-20240222_055747-47hab5fl,llama2_7b
mmlu:clinical_knowledge,0.14375,0.27357531575288957,,,0.0,0.0,run-20240222_055747-47hab5fl,llama2_7b
mmlu:clinical_knowledge,0.13124999999999998,0.12599703361390757,,,0.0,0.0,run-20240222_055747-47hab5fl,llama2_7b
mmlu:clinical_knowledge,0.175,0.1772641152233793,,,0.0,0.0,run-20240222_055747-47hab5fl,llama2_7b
mmlu:world_religions,0.09464285714285715,0.09057454760724179,0.5706166524580847,0.5763000852514919,0.9122807017543859,0.847953216374269,test,llama2_7b
mmlu:world_religions,0.3529411764705883,0.33550776798170806,,,1.0,0.8947368421052632,validation,llama2_7b
mmlu:world_religions,0.09464285714285715,0.09057454760724179,0.5706166524580847,0.5763000852514919,0.9122807017543859,0.847953216374269,run-20240223_145743-96i5vrw2,llama2_7b
mmlu:world_religions,0.3529411764705883,0.33550776798170806,,,1.0,0.8947368421052632,run-20240223_145743-96i5vrw2,llama2_7b
mmlu:world_religions,0.09464285714285715,0.09057454760724179,0.5706166524580847,0.5763000852514919,0.9122807017543859,0.847953216374269,latest-run,llama2_7b
mmlu:world_religions,0.3529411764705883,0.33550776798170806,,,1.0,0.8947368421052632,latest-run,llama2_7b
mmlu:human_sexuality,0.14885496183206107,0.18578747197022255,0.4853571428571429,0.47916666666666663,0.2366412213740458,0.16030534351145037,test,llama2_7b
mmlu:human_sexuality,0.25833333333333336,0.3245381643098753,,,0.0,0.0,validation,llama2_7b
mmlu:human_sexuality,0.14885496183206107,0.18578747197022255,0.4853571428571429,0.47916666666666663,0.2366412213740458,0.16030534351145037,run-20240222_110038-9t3jixag,llama2_7b
mmlu:human_sexuality,0.25833333333333336,0.3245381643098753,,,0.0,0.0,run-20240222_110038-9t3jixag,llama2_7b
mmlu:human_sexuality,0.14885496183206107,0.18578747197022255,0.4853571428571429,0.47916666666666663,0.2366412213740458,0.16030534351145037,latest-run,llama2_7b
mmlu:human_sexuality,0.25833333333333336,0.3245381643098753,,,0.0,0.0,latest-run,llama2_7b
mmlu:high_school_mathematics,0.09185185185185187,0.11196393523286823,0.5093789407313998,0.48218789407314,0.011111111111111112,0.003703703703703704,test,llama2_7b
mmlu:high_school_mathematics,0.07931034482758624,0.08810983524622139,,,0.0,0.0,validation,llama2_7b
mmlu:high_school_mathematics,0.09185185185185187,0.11196393523286823,0.5093789407313998,0.48218789407314,0.011111111111111112,0.003703703703703704,latest-run,llama2_7b
mmlu:high_school_mathematics,0.07931034482758624,0.08810983524622139,,,0.0,0.0,latest-run,llama2_7b
mmlu:high_school_mathematics,0.09185185185185187,0.11196393523286823,0.5093789407313998,0.48218789407314,0.011111111111111112,0.003703703703703704,run-20240222_092240-56ovmjzn,llama2_7b
mmlu:high_school_mathematics,0.07931034482758624,0.08810983524622139,,,0.0,0.0,run-20240222_092240-56ovmjzn,llama2_7b
mmlu:high_school_government_and_politics,0.13212435233160627,0.14248036160647862,0.4980607627666452,0.48868778280542985,0.3005181347150259,0.22279792746113988,test,llama2_7b
